epoch,train_loss,val_auc,val_f1,val_acc,val_score,lr
1,0.16342148419704522,0.6664154330815352,0.5528539973599871,0.7256176853055917,0.6323470023650707,0.0003
2,0.15883652781983754,0.5839656515700687,0.4908510894426387,0.7139141742522757,0.5560312829318397,0.0003
3,0.1553674544300045,0.6507655567223332,0.5343277777777777,0.716514954486346,0.6158342230389665,0.0003
4,0.14198191182033434,0.5996917448595914,0.5710545907085791,0.6736020806241872,0.5911005986142877,0.0003
5,0.1298599232088875,0.6469631787541071,0.5920933570470217,0.7126137841352406,0.6305022322419814,0.0003
6,0.1207761769896155,0.6055435113986654,0.5978585939401535,0.717815344603381,0.6032380361611117,0.0003
7,0.10753660877277185,0.5428000406490295,0.537508067828434,0.6801040312093628,0.5412124488028508,0.00015
8,0.07699262449803117,0.5903509366213882,0.5582500760297812,0.6684005201560468,0.5807206784439061,0.00015
9,0.0509889831447655,0.5569425154974424,0.5467205245425925,0.611183355006502,0.5538759182109874,0.00015
10,0.05411875221106383,0.5525134649910233,0.5339794243395939,0.6697009102730819,0.5469532527955945,0.00015
11,0.03886200344978689,0.5294366721994512,0.5321584060533471,0.6671001300390117,0.53025319235562,0.00015
12,0.03760070368429428,0.5366264692930456,0.5306745210422968,0.6410923276983095,0.534840884817821,0.00015
13,0.0322058525204927,0.5639629416347685,0.5609169365557781,0.682704811443433,0.5630491401110713,7.5e-05
14,0.02209046952476775,0.5081552115443244,0.539934698671235,0.647594278283485,0.5176890576823976,7.5e-05
15,0.019273630756599543,0.5332390501676773,0.5449877843945641,0.6775032509752926,0.5367636704357432,7.5e-05
16,0.016831852050984766,0.5226533654009011,0.5439716865007643,0.6736020806241872,0.5290488617308601,7.5e-05
17,0.025063768240019074,0.5163697029233427,0.5441024847922467,0.7009102730819246,0.5246895374840139,7.5e-05
18,0.015169882356096898,0.5288015311134447,0.5376242780039768,0.6697009102730819,0.5314483551806044,7.5e-05
19,0.011598263928291245,0.5452728566105484,0.5422454907304479,0.6762028608582574,0.5443646468465182,3.75e-05
20,0.021114848301638976,0.5452982622539887,0.5397616648610974,0.6918075422626788,0.5436372830361214,3.75e-05
21,0.011453016944279944,0.5455099759493243,0.5371896649943951,0.659297789336801,0.5430138826628456,3.75e-05
